Group,Sample_Index,X_Coordinate,Y_Coordinate
Group 3,0,6.290273957592735,-2.6873345438847513
Group 3,1,4.87715843064126,-3.582986237888689
Group 3,2,5.705764771067836,-1.1501885193775159
Group 3,3,-0.9666611866992945,1.9055154050459087
Group 3,4,3.4117997776282705,-3.9916980102191464
Group 3,5,4.314172191021206,-3.2097797486848423
Group 3,6,3.565912172474908,-2.8663013960288195
Group 3,7,4.0543123187217835,-1.3893644249017523
Group 3,8,0.7212259459091857,1.4240946986398584
Group 3,9,7.243187367864436,-0.08234756305142743
Group 3,10,3.739260521739963,-1.3191421558379792
Group 3,11,3.212187943713125,-1.697392017805934
Group 3,12,1.4632596814592562,1.9225285838010295
Group 3,13,2.849404962784657,-0.37324920456361155
Group 3,14,4.96634592202914,-3.985926626329344
Group 3,15,4.470103796842762,-1.8727018124583437
Group 3,16,0.5219294034964765,-1.6724753550235008
Group 3,17,3.809810405174793,-1.0917295233137523
Group 3,18,1.3017606040580503,4.092421289921533
Group 3,19,5.245040532373701,-1.7178899645123404
Group 3,20,6.691025134033228,-2.622374417180491
Group 3,21,1.0259763042630317,0.9650934185880409
Group 3,22,7.363813714252954,-2.01122119511112
Group 3,23,5.431345857750992,0.4238087351834703
Group 3,24,-0.22098602064070882,-0.4322626671648464
Group 3,25,5.8844588470361,-4.0215638454641045
Group 3,26,6.767628976345581,-1.366512803825188
Group 3,27,4.436888830274057,0.7627234140799106
Group 3,28,5.119872895610056,-1.4407366270162625
Group 3,29,4.072978869606058,1.2724978392057493
Group 3,30,6.1116106710234295,0.9755562032181269
Group 3,31,5.213066718245818,-2.0289774564077536
Group 3,32,2.5590324080790268,-3.1805544183999483
Group 3,33,3.502858058346447,-3.535633921561776
Group 3,34,5.244194927149869,-1.1602573267579102
Group 3,35,5.94983796517264,-1.707567361381719
Group 3,36,1.6721450510733504,-2.6509856933239355
Group 3,37,1.5153403699273826,-2.109529275377662
Group 3,38,1.8788892119135325,-1.0620224989677454
Group 3,39,3.8730958411291407,1.37754023768531
Group 3,40,4.893319563754496,-3.2575428200012118
Group 3,41,5.386059659626024,-3.5378286286061496
Group 3,42,4.015063893800443,-3.6027811311236584
Group 3,43,4.31021110652729,-4.21498583527708
Group 3,44,4.904915221947784,0.49999488884128507
Group 3,45,3.611911613535566,-5.5776705480395545
Group 3,46,7.304091772564293,-2.5188609210002415
Group 3,47,4.931262129620787,0.10225040477767822
Group 3,48,6.030286866518384,-2.9514120752259707
Group 3,49,3.5948071475609256,0.028543818889225747
Group 3,50,3.401757066954034,0.08623446880445246
Group 3,51,10.293582781355726,-0.6184612404035099
Group 3,52,4.649153299319609,0.4121008707590934
Group 3,53,4.104509617368601,-1.929051885306908
Group 3,54,1.0222579054325767,-2.4826290559853126
Group 3,55,6.75665295750434,-1.671392656193497
Group 3,56,1.3371154004465633,0.03105785953014182
Group 3,57,5.146151165445954,1.076870414904195
Group 3,58,0.8071964093739661,-3.9355086970504787
Group 3,59,4.048806291063074,1.9281682796026316
Group 3,60,5.212969870811008,-4.888351040499316
Group 3,61,-1.6057269672581223,4.900294596903288
Group 3,62,-1.819577726225011,0.1699497746913215
Group 3,63,-1.0403811542052148,-1.7122388812484288
Group 3,64,4.089107878870873,-0.6814787681644889
Group 3,65,4.056443208194583,-5.383686996642121
Group 3,66,4.759160585747304,-0.42452067158546747
Group 3,67,9.297818034628943,-4.557163616342066
Group 3,68,1.7989540952629237,3.1594585599987104
Group 3,69,4.1133741102950765,6.631569004774054
Group 3,70,3.5265135915848362,-1.1470330759808443
Group 3,71,3.799496890752044,-0.9206007535626628
Group 3,72,2.793310391939723,-4.428759584773797
Group 3,73,0.5691997302196319,-0.010807617271705212
Group 3,74,3.6981163058732696,-2.579003863474159
Group 3,75,4.0611259734730965,-1.683185901163315
Group 3,76,3.8959045197972286,-1.8772334982056917
Group 3,77,4.132829811926535,-0.10421609135541754
Group 3,78,4.759804790603094,-2.6547722948983155
Group 3,79,1.04464471489325,4.331293812219778
Group 3,80,3.371378433827676,-1.759596713873635
Group 3,81,4.3620052904796065,3.5651798203442517
Group 3,82,5.082798863795134,-1.3568581116788543
Group 3,83,3.354687380924021,-0.7718510437267758
Group 3,84,6.911660341773355,-3.3003268773252
Group 3,85,1.645564883834481,-0.8420252306003222
Group 3,86,5.973322888855758,0.1822392612199759
Group 3,87,4.860688247910421,-1.8473174994390087
Group 3,88,7.455817467054279,-2.1724263972377638
Group 3,89,6.098216739007733,1.84055391819125
Group 3,90,4.198799626299753,2.127011272765537
Group 3,91,5.4521106046716765,-1.4225503759285485
Group 3,92,4.938062957323008,-4.772387795117623
Group 3,93,-4.575427759972822,3.835355587821896
Group 3,94,-1.4326657343956533,-2.9688844097110128
Group 3,95,5.002674561656914,-3.622120071108931
Group 3,96,-1.7028612881477834,-3.848976672565709
Group 3,97,7.308713518715976,-1.578182476123902
Group 3,98,8.20338009511605,-1.7502720911342795
Group 3,99,6.60939442176102,-2.3427088157143108
Group 3,100,8.149111280753765,-1.96981830562871
Group 3,101,-1.2582727027014093,-1.5481341846521217
Group 3,102,4.4059349715986675,-2.5750733405436406
Group 3,103,5.017794018771176,-2.972703800028706
Group 3,104,5.471508024697146,-2.464264828890844
Group 3,105,2.571337714535239,-1.8345534089758448
Group 3,106,3.873905589491602,-4.652196549060077
Group 3,107,3.5528153935554716,-1.9954098248921408
Group 3,108,1.847023902878576,1.14580635669466
Group 3,109,5.2164650291526184,1.0203314419730498
